epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.395,0.80242,1.69382,1.35588,0.58083,0.31244,0.2841,0.18013,0.99668,2.48235,1.73061,0.000369648,0.000369648,0.000369648
2,385.817,0.81441,1.31493,1.34794,0.62989,0.48549,0.43605,0.36398,0.68838,2.20279,1.4184,0.000715561,0.000715561,0.000715561
3,571.867,0.78963,1.23862,1.32293,0.55994,0.50312,0.51299,0.4512,0.49195,2.20982,1.23066,0.00103703,0.00103703,0.00103703
4,756.112,0.72354,1.1167,1.27265,0.74051,0.68858,0.75677,0.69834,0.39599,1.22588,1.11396,0.00100101,0.00100101,0.00100101
5,940.651,0.67046,1.01413,1.23,0.66825,0.71745,0.79569,0.73237,0.39278,1.56413,1.08326,0.000964348,0.000964348,0.000964348
6,1126.96,0.61929,0.92775,1.1963,0.64618,0.6745,0.80025,0.7418,0.38889,1.45284,1.09841,0.000927685,0.000927685,0.000927685
7,1310.14,0.57963,0.86912,1.16656,0.77171,0.5689,0.80229,0.75037,0.3786,1.3693,1.0752,0.000891022,0.000891022,0.000891022
8,1491.36,0.56734,0.81731,1.15816,0.65532,0.72774,0.86245,0.82933,0.30722,1.19063,0.99157,0.000854359,0.000854359,0.000854359
9,1673.51,0.54288,0.78193,1.13978,0.70381,0.69711,0.80216,0.76606,0.26957,1.62649,0.94994,0.000817696,0.000817696,0.000817696
10,1860.24,0.51874,0.73123,1.12517,0.79163,0.79304,0.91572,0.88941,0.28878,0.87586,0.95344,0.000781033,0.000781033,0.000781033
11,2042.75,0.50443,0.7022,1.11513,0.64516,0.73486,0.86621,0.82366,0.32773,1.31015,1.03101,0.00074437,0.00074437,0.00074437
12,2224.05,0.49063,0.6706,1.10562,0.84486,0.59731,0.87615,0.85319,0.27117,1.35656,0.95419,0.000707707,0.000707707,0.000707707
13,2406.45,0.47406,0.6483,1.09473,0.8194,0.78727,0.9285,0.91599,0.24121,0.76261,0.91588,0.000671044,0.000671044,0.000671044
14,2590.2,0.45584,0.61521,1.08423,0.39392,0.965,0.89961,0.87606,0.29392,1.48829,0.97226,0.000634381,0.000634381,0.000634381
15,2772.68,0.45477,0.60003,1.07865,0.77488,0.81473,0.89688,0.87742,0.26052,0.96235,0.94208,0.000597718,0.000597718,0.000597718
16,2955.22,0.43837,0.572,1.07069,0.75035,0.76133,0.91111,0.89829,0.26487,1.17272,0.93366,0.000561055,0.000561055,0.000561055
17,3137.3,0.42561,0.54576,1.06329,0.78346,0.81958,0.92985,0.92077,0.21743,0.87589,0.89119,0.000524392,0.000524392,0.000524392
18,3327.37,0.41357,0.53043,1.05605,0.85401,0.91055,0.95791,0.93813,0.24136,0.53888,0.90582,0.000487729,0.000487729,0.000487729
19,3516.18,0.40635,0.50898,1.05302,0.77958,0.74539,0.90039,0.88609,0.23203,1.19616,0.90723,0.000451066,0.000451066,0.000451066
20,3699.52,0.40051,0.49518,1.04759,0.68949,0.78907,0.9275,0.91759,0.22776,1.05675,0.89442,0.000414403,0.000414403,0.000414403
21,3879.21,0.26784,0.26701,1.00481,0.73357,0.85543,0.94239,0.92868,0.24416,0.71825,0.91047,0.00037774,0.00037774,0.00037774
22,4056.09,0.24581,0.23039,0.98139,0.85787,0.82617,0.93179,0.91936,0.22483,0.74426,0.89494,0.000341077,0.000341077,0.000341077
23,4233.3,0.23259,0.22167,0.96841,0.76667,0.86904,0.94753,0.93685,0.21222,0.78786,0.89222,0.000304414,0.000304414,0.000304414
24,4410.98,0.22282,0.20361,0.95906,0.87209,0.85274,0.91666,0.90131,0.24298,0.69531,0.9113,0.000267751,0.000267751,0.000267751
25,4587.16,0.2109,0.18703,0.95181,0.86149,0.87537,0.94108,0.93649,0.1988,0.60993,0.85958,0.000231088,0.000231088,0.000231088
26,4763.88,0.20329,0.17258,0.94096,0.90011,0.88537,0.93189,0.92901,0.1977,0.54718,0.85879,0.000194425,0.000194425,0.000194425
27,4941.07,0.1947,0.15857,0.9323,0.89567,0.8957,0.94949,0.94372,0.19817,0.52984,0.86696,0.000157762,0.000157762,0.000157762
28,5124.64,0.18594,0.14537,0.92882,0.90692,0.9224,0.96388,0.95533,0.19801,0.44945,0.87595,0.000121099,0.000121099,0.000121099
29,5308.11,0.17428,0.13408,0.91568,0.92152,0.89249,0.95805,0.9526,0.18631,0.46932,0.85651,8.4436e-05,8.4436e-05,8.4436e-05
30,5484.86,0.16708,0.12919,0.91667,0.91227,0.89029,0.95873,0.95571,0.18644,0.48578,0.85037,4.7773e-05,4.7773e-05,4.7773e-05
