epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.817,0.62878,1.83946,1.23556,0.07116,0.24878,0.06994,0.03421,1.72791,4.31069,2.44558,0.000368299,0.000368299,0.000368299
2,377.433,0.77136,1.57272,1.31871,0.52656,0.37704,0.41288,0.29576,0.98383,2.39123,1.696,0.000714257,0.000714257,0.000714257
3,581.097,0.74745,1.47376,1.28706,0.35091,0.5278,0.44145,0.31044,0.85109,1.78644,1.78727,0.00103577,0.00103577,0.00103577
4,786.75,0.69724,1.36471,1.24806,0.39764,0.505,0.41835,0.35164,0.62618,2.36513,1.44452,0.00100101,0.00100101,0.00100101
5,990.637,0.62399,1.24144,1.20215,0.51644,0.63646,0.59934,0.53519,0.48504,1.34125,1.20123,0.000964348,0.000964348,0.000964348
6,1170.48,0.59158,1.1407,1.17499,0.5791,0.65,0.66847,0.62748,0.37008,1.76637,1.05752,0.000927685,0.000927685,0.000927685
7,1367.26,0.55361,1.0306,1.14141,0.4748,0.68964,0.68733,0.6287,0.40889,1.37942,1.12322,0.000891022,0.000891022,0.000891022
8,1571.61,0.50327,0.95275,1.11716,0.80811,0.54374,0.65945,0.61318,0.37795,1.56312,1.08369,0.000854359,0.000854359,0.000854359
9,1746.72,0.48392,0.90214,1.1007,0.74623,0.58882,0.7276,0.68736,0.33016,1.31736,1.01125,0.000817696,0.000817696,0.000817696
10,1942.82,0.47453,0.8808,1.10155,0.8565,0.58607,0.83245,0.77682,0.38482,1.18195,1.06901,0.000781033,0.000781033,0.000781033
11,2143.44,0.45981,0.78445,1.09284,0.74073,0.78966,0.87294,0.82066,0.34501,0.99053,1.01795,0.00074437,0.00074437,0.00074437
12,2348.57,0.45032,0.78998,1.0771,0.71946,0.70315,0.81587,0.76896,0.33867,1.57873,1.03053,0.000707707,0.000707707,0.000707707
13,2530.9,0.42504,0.73011,1.06536,0.78633,0.73933,0.87291,0.84492,0.29257,1.13818,0.95899,0.000671044,0.000671044,0.000671044
14,2739.56,0.42193,0.71913,1.06225,0.75769,0.70222,0.88928,0.84633,0.30861,1.15603,0.99572,0.000634381,0.000634381,0.000634381
15,2942.69,0.40696,0.6768,1.05439,0.6497,0.68116,0.84342,0.82215,0.26901,1.52519,0.93777,0.000597718,0.000597718,0.000597718
16,3119.01,0.39533,0.64745,1.0483,0.7799,0.77846,0.90335,0.87769,0.29674,0.94828,0.97878,0.000561055,0.000561055,0.000561055
17,3324.04,0.37933,0.60795,1.03283,0.85488,0.79296,0.93478,0.90591,0.27972,0.78131,0.94927,0.000524392,0.000524392,0.000524392
18,3526.31,0.36842,0.60436,1.02793,0.68411,0.75223,0.87051,0.84635,0.25923,1.35936,0.93066,0.000487729,0.000487729,0.000487729
19,3692.89,0.37046,0.56425,1.03066,0.71076,0.77811,0.92834,0.90857,0.26033,1.08148,0.92738,0.000451066,0.000451066,0.000451066
20,3887.29,0.34769,0.57177,1.01695,0.71978,0.80565,0.9392,0.92288,0.23824,0.98694,0.91359,0.000414403,0.000414403,0.000414403
21,4080.32,0.22219,0.34148,0.93707,0.85395,0.70632,0.91775,0.90214,0.23772,1.04537,0.90366,0.00037774,0.00037774,0.00037774
22,4261.53,0.21442,0.32247,0.92374,0.67059,0.77683,0.90662,0.89272,0.24126,1.19503,0.91171,0.000341077,0.000341077,0.000341077
23,4448.02,0.19725,0.29712,0.91108,0.82146,0.73499,0.9247,0.91712,0.21957,0.93023,0.88431,0.000304414,0.000304414,0.000304414
24,4634.43,0.1886,0.26522,0.90338,0.74334,0.83264,0.9401,0.93037,0.20652,0.85741,0.87837,0.000267751,0.000267751,0.000267751
25,4851.54,0.17655,0.24929,0.89837,0.82512,0.84557,0.94595,0.93197,0.19831,0.68517,0.86942,0.000231088,0.000231088,0.000231088
26,5064.57,0.1703,0.22683,0.89624,0.84562,0.84952,0.94969,0.94645,0.18014,0.65019,0.85215,0.000194425,0.000194425,0.000194425
27,5269.33,0.16153,0.1996,0.89127,0.81066,0.78464,0.95308,0.94888,0.18656,0.85687,0.85709,0.000157762,0.000157762,0.000157762
28,5480.22,0.15112,0.17798,0.87906,0.89788,0.77658,0.94202,0.93989,0.16797,0.6709,0.84384,0.000121099,0.000121099,0.000121099
29,5658.27,0.14227,0.16772,0.87303,0.88296,0.85569,0.9484,0.94602,0.16928,0.57529,0.83795,8.4436e-05,8.4436e-05,8.4436e-05
30,5845.28,0.1361,0.1505,0.87707,0.93419,0.77926,0.95064,0.94992,0.16093,0.63476,0.83176,4.7773e-05,4.7773e-05,4.7773e-05
