epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.577,0.82835,1.54664,1.38114,0.43345,0.65691,0.52502,0.466,0.4556,1.52384,1.17192,0.000369648,0.000369648,0.000369648
2,717.361,0.8619,1.34783,1.38799,0.60606,0.49512,0.47836,0.40896,0.42791,1.91826,1.10658,0.000715561,0.000715561,0.000715561
3,1070.87,0.81081,1.24443,1.34575,0.43406,0.55854,0.58321,0.5203,0.46141,2.55861,1.15229,0.00103703,0.00103703,0.00103703
4,1426.57,0.74248,1.12888,1.29243,0.84786,0.7078,0.83715,0.78812,0.36082,0.92921,1.04495,0.00100101,0.00100101,0.00100101
5,1782.65,0.68497,1.0139,1.24388,0.60847,0.7586,0.83674,0.78732,0.32734,1.09465,1.00623,0.000964348,0.000964348,0.000964348
6,2139.76,0.62867,0.92545,1.20408,0.74324,0.65507,0.81319,0.79009,0.29171,1.22169,0.95792,0.000927685,0.000927685,0.000927685
7,2490.35,0.60333,0.85833,1.17961,0.65554,0.74471,0.8709,0.8495,0.25925,1.18217,0.93408,0.000891022,0.000891022,0.000891022
8,2845.55,0.57288,0.79906,1.16143,0.72181,0.73548,0.88892,0.8545,0.32057,1.37161,0.97179,0.000854359,0.000854359,0.000854359
9,3198.95,0.55536,0.76702,1.14759,0.82579,0.59621,0.85785,0.84196,0.25631,1.2796,0.93921,0.000817696,0.000817696,0.000817696
10,3553.38,0.53611,0.71713,1.13662,0.68683,0.8113,0.92154,0.91148,0.23002,1.07335,0.90453,0.000781033,0.000781033,0.000781033
11,3908.97,0.52239,0.68978,1.12473,0.63799,0.79071,0.92062,0.90782,0.22041,1.01016,0.90019,0.00074437,0.00074437,0.00074437
12,4258.8,0.50225,0.65458,1.11089,0.75511,0.80066,0.92495,0.91371,0.20558,0.88074,0.88395,0.000707707,0.000707707,0.000707707
13,4614.29,0.49128,0.62909,1.10362,0.85976,0.85173,0.9546,0.9429,0.21331,0.55911,0.88917,0.000671044,0.000671044,0.000671044
14,4969.91,0.46791,0.60141,1.0898,0.76385,0.81564,0.93828,0.923,0.22761,1.01509,0.90282,0.000634381,0.000634381,0.000634381
15,5326.21,0.46594,0.5815,1.08451,0.7233,0.75206,0.91253,0.89924,0.21222,1.23079,0.89323,0.000597718,0.000597718,0.000597718
16,5683.41,0.45,0.55946,1.07776,0.75055,0.80231,0.93827,0.92793,0.22159,0.97034,0.89871,0.000561055,0.000561055,0.000561055
17,6039.89,0.43319,0.52724,1.06718,0.83924,0.86766,0.95438,0.95119,0.17588,0.54,0.85101,0.000524392,0.000524392,0.000524392
18,6395.96,0.42446,0.52087,1.06163,0.81914,0.8781,0.94811,0.93986,0.20029,0.66151,0.86697,0.000487729,0.000487729,0.000487729
19,6747.86,0.41796,0.49934,1.05969,0.82273,0.7992,0.94844,0.94177,0.20502,0.80521,0.86257,0.000451066,0.000451066,0.000451066
20,7100.17,0.40602,0.47522,1.05036,0.89635,0.85465,0.97295,0.9699,0.16846,0.53199,0.84093,0.000414403,0.000414403,0.000414403
21,7459.01,0.27219,0.25765,1.00637,0.83638,0.84166,0.9219,0.91185,0.21298,0.77456,0.91451,0.00037774,0.00037774,0.00037774
22,7815.19,0.2511,0.21581,0.98203,0.85154,0.78774,0.94061,0.93407,0.17871,0.77903,0.85695,0.000341077,0.000341077,0.000341077
23,8171.61,0.23981,0.20134,0.97066,0.85261,0.86803,0.948,0.93974,0.19531,0.59333,0.87542,0.000304414,0.000304414,0.000304414
24,8526.57,0.22724,0.18669,0.95834,0.92556,0.88912,0.95458,0.94948,0.1616,0.46103,0.85638,0.000267751,0.000267751,0.000267751
25,8877.82,0.21207,0.17574,0.94909,0.91012,0.79907,0.93931,0.93621,0.16185,0.61695,0.83005,0.000231088,0.000231088,0.000231088
26,9230.2,0.20625,0.15684,0.9397,0.87797,0.87694,0.95461,0.95003,0.15855,0.56867,0.83863,0.000194425,0.000194425,0.000194425
27,9584.15,inf,0.14264,0.92851,0.87625,0.88375,0.95227,0.94568,0.17013,0.53531,0.83755,0.000157762,0.000157762,0.000157762
28,9935.11,0.18394,0.13033,0.92454,0.91173,0.88557,0.96089,0.95533,0.15949,0.39303,0.84132,0.000121099,0.000121099,0.000121099
29,10287.7,0.17109,0.12174,0.90929,0.906,0.91201,0.96753,0.96233,0.14034,0.39323,0.83087,8.4436e-05,8.4436e-05,8.4436e-05
30,10638.2,0.16358,0.11948,0.91053,0.86807,0.91652,0.96013,0.95529,0.14624,0.45425,0.83135,4.7773e-05,4.7773e-05,4.7773e-05
